"No INV,Item,#Jumlah PAX,#Harga/Pax,# Sub Total,Catatan Tambahan"
"INV/2025/04-VE-0046,Catering Surcharge 150 pax,Rp1,Rp1.500.000,Rp1.500.000,"
"INV/2025/04-VE-0046,Free 1 kamar Duo Serenity Premium Inc BF,Rp1,Rp0,Rp0,"
"INV/2025/01-VE-0004,Tambahan,Rp8,Rp88.000,Rp704.000,"
"INV/2025/04-VE-0007,Valet,Rp1,Rp500.000,Rp500.000,"
"INV/2025/05-VE-0048,Valet,Rp1,Rp500.000,Rp500.000,"
"INV/2025/05-VE-0051,Catering Surcharge 250 pax,Rp1,Rp2.000.000,Rp2.000.000,"
"INV/2024/12-VE-0008,Lontong kikil,Rp25,Rp20.000,Rp500.000,"
"INV/2024/12-VE-0008,Kursi,Rp5,Rp10.000,Rp50.000,"
"INV/2025/02-VE-0014,Catering Surcharge,Rp1,Rp2.500.000,Rp2.500.000,"
"INV/2025/06-VE-0057,Valet,Rp1,Rp500.000,Rp500.000,"
"INV/2025/06-VE-0057,Room Hotel,Rp1,Rp0,Rp0,"
"INV/2025/04-VE-0013,Stall Tahu Campur,Rp100,Rp20.000,Rp2.000.000,"
"INV/2025/06-VE-0056,Valet,Rp1,Rp500.000,Rp500.000,"
"INV/2025/06-VE-0056,Catering Surcharge,Rp1,Rp2.000.000,Rp2.000.000,"
"INV/2025/06-VE-0056,Sound System,Rp1,Rp350.000,Rp350.000,"
"INV/2025/06-VE-0056,Additional Extra Time (1 hour),Rp1,Rp500.000,Rp500.000,"
"INV/2025/06-VE-0059,Add on pax,Rp6,Rp88.000,Rp528.000,"
"INV/2025/07-VE-0063,Add on pax,Rp50,Rp88.000,Rp4.400.000,"
"INV/2025/07-VE-0071,Entertaiment,1,Rp2.500.000,Rp2.500.000,"
"INV/2025/07-VE-0064,Takeout Dokumentasi & MUA,Rp1,-Rp6.000.000,-Rp6.000.000,"
"INV/2025/07-VE-0065,Catering Surcharge,Rp1,Rp2.000.000,Rp2.000.000,"
"INV/2025/07-VE-0066,Takeout MUA,Rp1,-Rp4.000.000,-Rp4.000.000,"
"INV/2025/07-VE-0067,Takeout MUA,Rp1,-Rp4.000.000,-Rp4.000.000,"
"INV/2025/07-VE-0071,Takeout MUA; Catering,Rp1,-Rp9.310.000,-Rp9.310.000,"
"INV/2025/07-VE-0071,Catering Surcharge,Rp1,Rp2.500.000,Rp2.500.000,"
"INV/2025/07-VE-0073,Takeout Catering,Rp1,-Rp13.000.000,-Rp13.000.000,"
"INV/2025/07-VE-0073,Catering Surcharge,Rp1,Rp2.000.000,Rp2.000.000,"
"INV/2025/07-VE-0073,Add on 100 pax tapi tanpa Cathering,,Rp0,Rp0,"
"INV/2025/07-VE-0077,Catering Surcharge,Rp1,Rp2.000.000,Rp2.000.000,"
"INV/2025/07-VE-0078,Catering Surcharge,Rp1,Rp2.000.000,Rp2.000.000,"
"INV/2025/07-VE-0080,Catering Surcharge,Rp1,Rp2.000.000,Rp2.000.000,"
"INV/2025/07-VE-0080,Stall Surcharge,Rp100,Rp5.000,Rp500.000,"
"INV/2025/07-VE-0062,Free Kamar Serenity + VIP Vale 5 Mobil,Rp1,Rp0,Rp0,"
"INV/2025/07-VE-0081,Stall Bakso,Rp20,Rp20.000,Rp400.000,"
"INV/2025/07-VE-0081,Stall Siomay,Rp20,Rp20.000,Rp400.000,"
"INV/2025/07-VE-0087,Duo Serenity Premium  3 Nights,Rp2,Rp1.200.000,Rp2.400.000,"
"INV/2025/07-VE-0087,Additional Breakfeast = Rp 110.000 (2 pax)  X 3 (day’s) = Rp. 330.000,Rp3,Rp110.000,Rp330.000,"
"INV/2025/07-VE-0067,Takeout Catering,Rp1,-Rp4.710.000,-Rp4.710.000,"
"INV/2025/07-VE-0067,Catering Surcharge,Rp1,Rp750.000,Rp750.000,"
"INV/2025/07-VE-0076,Add On 20 pax Premium Package,Rp20,Rp105.000,Rp2.100.000,"
"INV/2025/07-VE-0076,Add On Gubukan 60pax Tahu Campur,Rp60,Rp20.000,Rp1.200.000,"
"INV/2025/07-VE-0091,Free Kamar Serenity + Breakfast,Rp1,Rp0,Rp0,"
"INV/2025/07-VE-0091,Free VIP Mobil 5 (Parkir di Hotel),Rp1,Rp0,Rp0,"
"INV/2025/07-VE-0068,Entertaiment,Rp1,Rp1.700.000,Rp1.700.000,"
"INV/2024/11-VE-0018,Sucharge,Rp1,Rp2.000.000,Rp2.000.000,"
"INV/2025/05-VE-0047,Sucharge 150pax,Rp1,Rp1.500.000,Rp1.500.000,"
"INV/2025/05-VE-0049,Valle,Rp1,Rp500.000,Rp500.000,"
"INV/2025/07-VE-0076,Valet Parking,Rp1,Rp500.000,Rp500.000,"
"INV/2025/07-VE-0092,External Surcharge,Rp1,Rp2.000.000,Rp2.000.000,"
"INV/2025/07-VE-0092,additional hour 3 jam,Rp3,Rp500.000,Rp1.500.000,"
"INV/2025/08-VE-0097,Catering Surcharge (250pax),Rp1,Rp2.000.000,Rp2.000.000,"
"INV/2025/06-VE-0056,Surcharge Stall,Rp250,Rp5.000,Rp1.250.000,"
"INV/2025/02-VE-0021,Additional Hour,Rp1,Rp500.000,Rp500.000,"
"INV/2025/06-VE-0054,Charge Catering luar,Rp1,Rp2.000.000,Rp2.000.000,"
"INV/2025/06-VE-0054,Free Room Duo Serenity,Rp0,Rp0,Rp0,"
"INV/2025/02-VE-0021,Buffet 100 pax,Rp100,Rp85.000,Rp8.500.000,"
"INV/2025/02-VE-0021,Tahu Campur (Stall),Rp50,Rp20.000,Rp1.000.000,"
"INV/2025/02-VE-0021,Kikil (Stall),Rp50,Rp20.000,Rp1.000.000,"
"INV/2025/02-VE-0021,Bakso (Stall),Rp50,Rp20.000,Rp1.000.000,"
"INV/2025/08-VE-0102,Venue + Catering 50pax,Rp1,Rp0,Rp0,"
"INV/2025/08-VE-0102,Valet Parking,Rp1,Rp0,Rp0,"
"INV/2025/08-VE-0102,Decor,Rp1,Rp0,Rp0,"
"INV/2025/08-VE-0102,Dokumentasi,Rp1,Rp0,Rp0,"
"INV/2025/08-VE-0103,Valet Parking,Rp1,Rp500.000,Rp500.000,"
"INV/2025/02-VE-0021,Charge FullBand,Rp1,Rp350.000,Rp350.000,"
